,Neighborhood,Niche URL,Niche Price,Population (2010),NPU,2014 Count,2015 Count,2016 Count,2017 Count,2018 Count
31,Betmar LaVilla,https://www.niche.com/places-to-live/n/betmar-lavilla-atlanta-ga/,"$72,600 ",578,Y,49.0,35.0,38.0,49.0,34.0
32,Blair Villa/Poole Creek,https://www.niche.com/places-to-live/n/blair-villa-poole-creek-atlanta-ga/,"$95,700 ",,,78.0,77.0,63.0,62.0,69.0
33,Blandtown,https://www.niche.com/places-to-live/n/blandtown-atlanta-ga/,"$245,131 ",,,171.0,166.0,247.0,271.0,240.0
34,Bolton,https://www.niche.com/places-to-live/n/bolton-atlanta-ga/,"$257,299 ","2,996",D,75.0,97.0,100.0,128.0,112.0
35,Bolton Hills,https://www.niche.com/places-to-live/n/bolton-hills-atlanta-ga/,"$164,800 ",,,8.0,7.0,1.0,8.0,3.0
36,Boulder Park,https://www.niche.com/places-to-live/n/boulder-park-atlanta-ga/,"$102,728 ",,,4.0,5.0,7.0,6.0,3.0
37,Boulevard Heights,https://www.niche.com/places-to-live/n/boulevard-heights-atlanta-ga/,"$160,200 ",675,W,48.0,24.0,24.0,43.0,43.0
38,Brandon,https://www.niche.com/places-to-live/n/brandon-atlanta-ga/,"$793,093 ",943,C,22.0,34.0,24.0,12.0,16.0
39,Brentwood,https://www.niche.com/places-to-live/n/brentwood-atlanta-ga/,"$123,462 ",,,10.0,2.0,10.0,7.0,3.0
40,Briar Glen,https://www.niche.com/places-to-live/n/briar-glen-atlanta-ga/,"$94,600 ",,,8.0,12.0,13.0,8.0,3.0
41,Brookhaven,https://www.niche.com/places-to-live/n/brookhaven-atlanta-ga/,"$494,238 ",,,22.0,31.0,31.0,13.0,20.0
42,Brookview Heights,https://www.niche.com/places-to-live/n/brookview-heights-atlanta-ga/,"$117,860 ",,,37.0,31.0,33.0,39.0,45.0
43,Brookwood,https://www.niche.com/places-to-live/n/brookwood-atlanta-ga/,"$292,426 ","1,834",E,48.0,38.0,53.0,35.0,22.0
44,Brookwood Hills,https://www.niche.com/places-to-live/n/brookwood-hills-atlanta-ga/,"$714,856 ","2,103",E,61.0,48.0,26.0,53.0,55.0
45,Browns Mill Park,https://www.niche.com/places-to-live/n/browns-mill-park-atlanta-ga/,"$78,390 ","2,170",Z,167.0,145.0,160.0,143.0,107.0
46,Buckhead Forest,https://www.niche.com/places-to-live/n/buckhead-forest-atlanta-ga/,"$244,382 ","2,252",B,180.0,213.0,206.0,172.0,208.0
47,Buckhead Heights,https://www.niche.com/places-to-live/n/buckhead-heights-atlanta-ga/,"$282,400 ",,,30.0,35.0,28.0,38.0,46.0
48,Buckhead Village,https://www.niche.com/places-to-live/n/buckhead-village-atlanta-ga/,"$238,500 ","1,343",B,109.0,121.0,125.0,190.0,253.0
49,Bush Mountain,https://www.niche.com/places-to-live/n/bush-mountain-atlanta-ga/,"$55,500 ",,,28.0,33.0,19.0,24.0,18.0
50,Butner/Tell,https://www.niche.com/places-to-live/n/butner-tell-atlanta-ga/,"$181,339 ",,,5.0,8.0,7.0,4.0,3.0
51,Cabbagetown,https://www.niche.com/places-to-live/n/cabbagetown-atlanta-ga/,"$228,700 ","1,247",N,45.0,43.0,59.0,49.0,33.0
52,Campbellton Road,https://www.niche.com/places-to-live/n/campbellton-road-atlanta-ga/,"$61,244 ","4,709",R,297.0,245.0,265.0,214.0,182.0
53,Candler Park,https://www.niche.com/places-to-live/n/candler-park-atlanta-ga/,"$475,706 ","3,291",N,224.0,183.0,134.0,151.0,136.0
54,Capitol Gateway,https://www.niche.com/places-to-live/n/capitol-gateway-atlanta-ga/,"$45,904 ",823,V,58.0,72.0,65.0,41.0,32.0
55,Capitol View,https://www.niche.com/places-to-live/n/capitol-view-atlanta-ga/,"$78,384 ","1,965",X,194.0,149.0,145.0,132.0,135.0
56,Capitol View Manor,https://www.niche.com/places-to-live/n/capitol-view-manor-atlanta-ga/,"$120,800 ",664,X,29.0,26.0,23.0,27.0,28.0
57,Carey Park,https://www.niche.com/places-to-live/n/carey-park-atlanta-ga/,"$22,932 ","1,739",G,148.0,107.0,123.0,90.0,56.0
58,Carroll Heights,https://www.niche.com/places-to-live/n/carroll-heights-atlanta-ga/,"$61,301 ","1,173",H,56.0,57.0,47.0,46.0,46.0
59,Carver Hills,https://www.niche.com/places-to-live/n/carver-hills-atlanta-ga/,"$128,192 ",681,G,37.0,35.0,28.0,31.0,28.0
60,Cascade Avenue/Road,https://www.niche.com/places-to-live/n/cascade-avenue-road-atlanta-ga/,"$95,560 ","2,416",S,162.0,142.0,143.0,138.0,139.0
61,Cascade Green,https://www.niche.com/places-to-live/n/cascade-green-atlanta-ga/,0,,,10.0,10.0,19.0,7.0,6.0
62,Cascade Heights,https://www.niche.com/places-to-live/n/cascade-heights-atlanta-ga/,"$123,860 ","1,124",I,39.0,48.0,52.0,100.0,39.0
63,Castleberry Hill,https://www.niche.com/places-to-live/n/castleberry-hill-atlanta-ga/,"$169,132 ","1,285",M,364.0,304.0,293.0,299.0,357.0
64,Castlewood,https://www.niche.com/places-to-live/n/castlewood-atlanta-ga/,"$793,093 ",741,C,13.0,12.0,10.0,6.0,4.0
65,Center Hill,https://www.niche.com/places-to-live/n/center-hill-atlanta-ga/,"$63,122 ","3,058",J,259.0,260.0,254.0,214.0,158.0
66,Chalet Woods,https://www.niche.com/places-to-live/n/chalet-woods-atlanta-ga/,"$87,200 ",,,10.0,3.0,4.0,5.0,3.0
67,Channing Valley,https://www.niche.com/places-to-live/n/channing-valley-atlanta-ga/,"$595,200 ",,,44.0,36.0,50.0,31.0,39.0
68,Chastain Park,https://www.niche.com/places-to-live/n/chastain-park-atlanta-ga/,"$696,809 ","2,398",A,60.0,30.0,62.0,29.0,29.0
69,Chattahoochee,https://www.niche.com/places-to-live/n/chattahoochee-atlanta-ga/,"$164,800 ",,,4.0,,1.0,1.0,
70,Chosewood Park,https://www.niche.com/places-to-live/n/chosewood-park-atlanta-ga/,"$39,344 ","3,790",Y,99.0,73.0,85.0,96.0,68.0
71,Collier Heights,https://www.niche.com/places-to-live/n/collier-heights-atlanta-ga/,"$74,427 ","5,593",I,309.0,287.0,382.0,254.0,183.0
72,Collier Hills,https://www.niche.com/places-to-live/n/collier-hills-atlanta-ga/,"$586,439 ",630,C,16.0,17.0,20.0,13.0,22.0
73,Collier Hills North,https://www.niche.com/places-to-live/n/collier-hills-north-atlanta-ga/,"$198,726 ",,,2.0,6.0,4.0,2.0,4.0
