,Neighborhood,Niche URL,Niche Price,Population (2010),NPU,2014 Count,2015 Count,2016 Count,2017 Count,2018 Count
68,Chastain Park,https://www.niche.com/places-to-live/n/chastain-park-atlanta-ga/,"$696,809 ","2,398",A,60.0,30.0,62.0,29.0,29.0
70,Chosewood Park,https://www.niche.com/places-to-live/n/chosewood-park-atlanta-ga/,"$39,344 ","3,790",Y,99.0,73.0,85.0,96.0,68.0
71,Collier Heights,https://www.niche.com/places-to-live/n/collier-heights-atlanta-ga/,"$74,427 ","5,593",I,309.0,287.0,382.0,254.0,183.0
72,Collier Hills,https://www.niche.com/places-to-live/n/collier-hills-atlanta-ga/,"$586,439 ",630,C,16.0,17.0,20.0,13.0,22.0
75,Cross Creek,https://www.niche.com/places-to-live/n/cross-creek-atlanta-ga/,"$151,729 ","2,041",C,39.0,25.0,17.0,19.0,15.0
76,Custer/McDonough/Guice,https://www.niche.com/places-to-live/n/custer-mcdonough-guice-atlanta-ga/,"$167,795 ","1,257",W,103.0,109.0,75.0,91.0,73.0
77,Deerwood,https://www.niche.com/places-to-live/n/deerwood-atlanta-ga/,"$63,500 ",566,P,28.0,26.0,21.0,19.0,11.0
78,Dixie Hills,https://www.niche.com/places-to-live/n/dixie-hills-atlanta-ga/,"$64,254 ","1,756",J,123.0,175.0,153.0,120.0,133.0
79,Downtown,https://www.niche.com/places-to-live/n/downtown-atlanta-ga/,"$132,456 ","13,411",M,2389.0,2263.0,1823.0,1813.0,2120.0
82,East Atlanta,https://www.niche.com/places-to-live/n/east-atlanta-atlanta-ga/,"$196,495 ","5,033",W,331.0,317.0,294.0,311.0,254.0
83,East Chastain Park,https://www.niche.com/places-to-live/n/east-chastain-park-atlanta-ga/,"$540,685 ","2,065",B,40.0,35.0,39.0,38.0,58.0
84,East Lake,https://www.niche.com/places-to-live/n/east-lake-atlanta-ga/,"$302,676 ","2,568",O,132.0,135.0,173.0,158.0,116.0
85,Edgewood,https://www.niche.com/places-to-live/n/edgewood-atlanta-ga/,"$246,000 ","3,983",O,500.0,479.0,374.0,451.0,368.0
89,English Avenue,https://www.niche.com/places-to-live/n/english-avenue-atlanta-ga/,"$145,754 ","3,309",L,306.0,294.0,260.0,283.0,242.0
92,Fairburn Heights,https://www.niche.com/places-to-live/n/fairburn-heights-atlanta-ga/,"$59,424 ","1,138",H,76.0,64.0,74.0,55.0,31.0
93,Fairburn Mays,https://www.niche.com/places-to-live/n/fairburn-mays-atlanta-ga/,"$76,299 ","3,144",H,164.0,124.0,157.0,119.0,93.0
96,Fairway Acres,https://www.niche.com/places-to-live/n/fairway-acres-atlanta-ga/,"$143,700 ",513,P,12.0,6.0,12.0,6.0,6.0
98,Florida Heights,https://www.niche.com/places-to-live/n/florida-heights-atlanta-ga/,"$45,001 ","1,242",I,220.0,154.0,126.0,97.0,106.0
99,Fort McPherson,https://www.niche.com/places-to-live/n/fort-mcpherson-atlanta-ga/,"$107,834 ",501,S,4.0,4.0,1.0,2.0,3.0
101,Garden Hills,https://www.niche.com/places-to-live/n/garden-hills-atlanta-ga/,"$597,268 ","3,939",B,127.0,113.0,110.0,133.0,150.0
102,Georgia Tech,https://www.niche.com/places-to-live/n/georgia-tech-atlanta-ga/,"$90,531 ","6,607",E,8.0,5.0,4.0,2.0,5.0
103,Glenrose Heights,https://www.niche.com/places-to-live/n/glenrose-heights-atlanta-ga/,"$61,798 ","4,071",Z,384.0,308.0,277.0,212.0,156.0
104,Grant Park,https://www.niche.com/places-to-live/n/grant-park-atlanta-ga/,"$273,434 ","6,771",W,526.0,424.0,441.0,352.0,355.0
107,Greenbriar,https://www.niche.com/places-to-live/n/greenbriar-atlanta-ga/,"$102,121 ","3,628",R,522.0,416.0,522.0,427.0,373.0
109,Grove Park,https://www.niche.com/places-to-live/n/grove-park-atlanta-ga/,"$86,278 ","4,929",J,436.0,423.0,397.0,329.0,332.0
110,Hammond Park,https://www.niche.com/places-to-live/n/hammond-park-atlanta-ga/,"$73,450 ","2,565",X,287.0,240.0,200.0,171.0,146.0
112,Harland Terrace,https://www.niche.com/places-to-live/n/harland-terrace-atlanta-ga/,"$43,343 ","2,138",I,267.0,279.0,202.0,219.0,177.0
113,Harris Chiles,https://www.niche.com/places-to-live/n/harris-chiles-atlanta-ga/,"$93,662 ",765,T,96.0,101.0,73.0,65.0,63.0
115,Heritage Valley,https://www.niche.com/places-to-live/n/heritage-valley-atlanta-ga/,"$111,700 ",910,P,15.0,35.0,34.0,19.0,21.0
117,Hills Park,https://www.niche.com/places-to-live/n/hills-park-atlanta-ga/,"$267,747 ",953,D,40.0,64.0,88.0,101.0,81.0
118,Home Park,https://www.niche.com/places-to-live/n/home-park-atlanta-ga/,"$208,821 ","4,941",E,448.0,386.0,461.0,429.0,410.0
120,Hunter Hills,https://www.niche.com/places-to-live/n/hunter-hills-atlanta-ga/,"$34,308 ","2,223",K,146.0,144.0,195.0,138.0,127.0
122,Inman Park,https://www.niche.com/places-to-live/n/inman-park-atlanta-ga/,"$452,641 ","4,098",N,403.0,398.0,426.0,362.0,331.0
124,Joyland,https://www.niche.com/places-to-live/n/joyland-atlanta-ga/,"$179,200 ",639,Y,87.0,57.0,44.0,36.0,39.0
126,Kings Forest,https://www.niche.com/places-to-live/n/kings-forest-atlanta-ga/,"$108,700 ","1,674",P,75.0,98.0,70.0,60.0,47.0
127,Kingswood,https://www.niche.com/places-to-live/n/kingswood-atlanta-ga/,"$1,297,300 ",660,A,5.0,7.0,7.0,2.0,9.0
128,Kirkwood,https://www.niche.com/places-to-live/n/kirkwood-atlanta-ga/,"$278,370 ","5,897",O,274.0,207.0,173.0,161.0,122.0
129,Knight Park/Howell Station,https://www.niche.com/places-to-live/n/knight-park-howell-station-atlanta-ga/,"$67,617 ","2,545",K,36.0,38.0,41.0,37.0,23.0
130,Lake Claire,https://www.niche.com/places-to-live/n/lake-claire-atlanta-ga/,"$488,797 ","2,557",N,58.0,70.0,37.0,52.0,47.0
132,Lakewood,https://www.niche.com/places-to-live/n/lakewood-atlanta-ga/,"$71,132 ","1,333",Z,44.0,64.0,67.0,47.0,41.0
133,Lakewood Heights,https://www.niche.com/places-to-live/n/lakewood-heights-atlanta-ga/,"$93,352 ","2,177",Y,298.0,264.0,287.0,317.0,259.0
135,Leila Valley,https://www.niche.com/places-to-live/n/leila-valley-atlanta-ga/,"$62,752 ",847,Z,61.0,66.0,42.0,50.0,41.0
136,Lenox,https://www.niche.com/places-to-live/n/lenox-atlanta-ga/,0,"1,663",B,522.0,624.0,518.0,520.0,455.0
137,Lincoln Homes,https://www.niche.com/places-to-live/n/lincoln-homes-atlanta-ga/,"$110,896 ",590,G,32.0,33.0,38.0,33.0,19.0
139,Lindridge/Martin Manor,https://www.niche.com/places-to-live/n/lindridge-martin-manor-atlanta-ga/,"$323,714 ","4,221",F,233.0,198.0,221.0,210.0,304.0
140,Loring Heights,https://www.niche.com/places-to-live/n/loring-heights-atlanta-ga/,"$293,614 ","1,774",E,95.0,115.0,153.0,161.0,206.0
142,Margaret Mitchell,https://www.niche.com/places-to-live/n/margaret-mitchell-atlanta-ga/,"$1,035,536 ","1,207",A,18.0,13.0,13.0,6.0,10.0
143,Marietta Street Artery,https://www.niche.com/places-to-live/n/marietta-street-artery-atlanta-ga/,"$1,194 ",745,E,168.0,219.0,197.0,143.0,218.0
144,Mays,https://www.niche.com/places-to-live/n/mays-atlanta-ga/,"$108,400 ",790,H,61.0,81.0,96.0,63.0,42.0
146,Mechanicsville,https://www.niche.com/places-to-live/n/mechanicsville-atlanta-ga/,"$97,288 ","3,731",V,495.0,426.0,422.0,432.0,412.0
149,Midtown,https://www.niche.com/places-to-live/n/midtown-atlanta-ga/,"$322,058 ","16,569",E,1715.0,1521.0,1309.0,1402.0,1512.0
150,Midwest Cascade,https://www.niche.com/places-to-live/n/midwest-cascade-atlanta-ga/,"$218,615 ","1,786",Q,21.0,18.0,32.0,35.0,12.0
151,Monroe Heights,https://www.niche.com/places-to-live/n/monroe-heights-atlanta-ga/,"$155,000 ",903,G,34.0,54.0,54.0,44.0,23.0
152,Morningside/Lenox Park,https://www.niche.com/places-to-live/n/morningside-lenox-park-atlanta-ga/,"$541,247 ","8,030",F,221.0,224.0,270.0,335.0,316.0
153,Mozley Park,https://www.niche.com/places-to-live/n/mozley-park-atlanta-ga/,"$93,751 ","1,714",K,126.0,109.0,119.0,103.0,105.0
156,Mt. Paran/Northside,https://www.niche.com/places-to-live/n/mt-paran-northside-atlanta-ga/,"$1,013,018 ","1,568",A,36.0,35.0,32.0,21.0,13.0
159,North Buckhead,https://www.niche.com/places-to-live/n/north-buckhead-atlanta-ga/,"$549,909 ","8,270",B,493.0,427.0,544.0,476.0,533.0
160,Norwood Manor,https://www.niche.com/places-to-live/n/norwood-manor-atlanta-ga/,"$85,044 ",871,Z,50.0,41.0,49.0,44.0,36.0
163,Oakland City,https://www.niche.com/places-to-live/n/oakland-city-atlanta-ga/,"$77,543 ","3,442",S,366.0,344.0,266.0,245.0,236.0
165,Old Fourth Ward,https://www.niche.com/places-to-live/n/old-fourth-ward-atlanta-ga/,"$237,042 ","10,505",M,879.0,815.0,784.0,694.0,562.0
166,Old Gordon,https://www.niche.com/places-to-live/n/old-gordon-atlanta-ga/,"$70,094 ",761,H,21.0,29.0,27.0,25.0,17.0
167,Orchard Knob,https://www.niche.com/places-to-live/n/orchard-knob-atlanta-ga/,"$73,700 ",673,Z,47.0,44.0,32.0,45.0,29.0
168,Ormewood Park,https://www.niche.com/places-to-live/n/ormewood-park-atlanta-ga/,"$284,772 ","4,050",W,170.0,178.0,148.0,154.0,106.0
